MN_mean	NN_mean	theta	prob	log2FC	length	GC	Chrom	GeneStart	GeneEnd	Biotype	ENSEMBL	SYMBOL	ENTREZ
ENSG00000172270	18538.8431559127	32367.1639218997	-1.97328679387787	0.986110500832171	-0.803979738126466	12218	62.58	19	571277	583494	protein_coding	ENSG00000172270	BSG	682
ENSG00000114784	2774.66303898661	4069.73542951789	-1.90257235051737	0.986088235795365	-0.552622430875941	2718	41.69	3	40309707	40312424	protein_coding	ENSG00000114784	EIF1B	10289
ENSG00000100300	5830.91548731759	7027.36416027311	-1.97353831494069	0.986068572674541	-0.269261248779577	11696	57.74	22	43151547	43163242	protein_coding	ENSG00000100300	TSPO	706
ENSG00000250608	2366.58391706166	3233.0315794464	-1.89653303987174	0.985967513845974	-0.450081519690538	56565	41.55	3	131325092	131381656	lncRNA	ENSG00000250608	NUDT16-DT	339874
ENSG00000070182	4607.96399354065	7719.91940141161	-1.98883938287397	0.985848622425414	-0.744456341685441	133625	48.21	14	64746283	64879907	protein_coding	ENSG00000070182	SPTB	6710
ENSG00000167671	5593.1377769124	7929.58732895112	-1.9010884076274	0.985633152068368	-0.503587918280188	12796	60	19	4444999	4457794	protein_coding	ENSG00000167671	UBXN6	80700
ENSG00000164821	68.6478687490875	255.010789658431	-1.9008746861685	0.98559336780556	-1.89327145358504	2487	45.15	8	6935820	6938306	protein_coding	ENSG00000164821	DEFA4	1669
ENSG00000185261	17211.9741484001	21219.6419262641	-1.84614935210595	0.985591075640383	-0.301987732965887	467754	36.66	5	94150851	94618604	protein_coding	ENSG00000185261	KIAA0825	285600
ENSG00000129472	3423.92454299124	5155.83318491657	-1.87814538219604	0.985507053440481	-0.590554678847808	17941	41.18	14	21459020	21476960	protein_coding	ENSG00000129472	RAB2B	84932
ENSG00000143416	6435.09697468579	14510.4990026022	-2.43388825685871	0.985443483888475	-1.17306333856437	8404	54.97	1	151364304	151372707	protein_coding	ENSG00000143416	SELENBP1	8991
ENSG00000147689	44.718424815905	185.57334754175	-1.82274776869668	0.985247310697748	-2.05304824628343	31120	49.8	8	123178960	123210079	protein_coding	ENSG00000147689	FAM83A	84985
ENSG00000173598	2792.81869246281	4077.70001387054	-1.94108313583453	0.985164602230499	-0.546033725755128	30264	41.97	12	93377883	93408146	protein_coding	ENSG00000173598	NUDT4	11163
ENSG00000165406	32945.4044646984	47362.8569204192	-1.80371501100618	0.98504696523858	-0.523678868164286	140322	40.34	10	45454585	45594906	protein_coding	ENSG00000165406	MARCHF8	220972
ENSG00000166523	2379.69053468651	3643.41552577954	-1.87752696393051	0.985040746946015	-0.614517570162587	7601	39.84	12	8533305	8540905	protein_coding	ENSG00000166523	CLEC4E	26253
ENSG00000078053	635.079708386154	916.482268039396	-1.80309424652883	0.984661925341799	-0.529169293149102	247717	39.13	7	38383704	38631420	protein_coding	ENSG00000078053	AMPH	273
ENSG00000158856	39794.64677651	56799.4105890294	-1.80306638489825	0.984644585189875	-0.513301588114173	33533	54.92	8	22048995	22082527	protein_coding	ENSG00000158856	DMTN	2039
ENSG00000198833	4868.2011754034	6110.26127155279	-1.97635576544822	0.984292557231099	-0.327845282478781	26098	39.93	6	89326625	89352722	protein_coding	ENSG00000198833	UBE2J1	51465
ENSG00000118492	117.933278424501	264.25724495171	-1.87592834114021	0.983969209912608	-1.16397214988772	216496	35.78	6	146598967	146815462	protein_coding	ENSG00000118492	ADGB	79747
ENSG00000170889	13027.6729203935	14972.8554171231	-1.97675493981058	0.98392948899069	-0.200769974355971	48195	51.78	19	54200809	54249003	protein_coding	ENSG00000170889	RPS9	6203
ENSG00000144820	16.2635093576	236.169288410904	-1.98679117338577	0.983307946378053	-3.8601108656354	85879	38.02	3	100609601	100695479	protein_coding	ENSG00000144820	ADGRG7	84873
ENSG00000099785	2410.74847473122	3279.77949011176	-1.87317803422354	0.982547773189257	-0.444117685870872	25748	51.12	19	8413270	8439017	protein_coding	ENSG00000099785	MARCHF2	51257
ENSG00000204933	9.50029288600875	41.2317214177827	-1.79680401515767	0.982123760820501	-2.11771079845895	6382	55.69	19	43372742	43379123	unprocessed_pseudogene	ENSG00000204933	NA	NA
ENSG00000129355	1709.66047931355	2168.89724789096	-1.79668212606084	0.982099149171272	-0.343251857138524	2600	58.54	19	10566460	10569059	protein_coding	ENSG00000129355	CDKN2D	1032
ENSG00000187244	197.725877938723	500.889012389627	-1.86932648432668	0.981697155015581	-1.34098926441446	12351	58.92	19	44809071	44821421	protein_coding	ENSG00000187244	BCAM	4059
ENSG00000029534	6269.15425771026	11893.1837725854	-1.86825640753948	0.981673434910566	-0.923792238256199	243543	49.32	8	41653220	41896762	protein_coding	ENSG00000029534	ANK1	286
ENSG00000136929	2195.73497598478	4278.6984663783	-1.79415026385576	0.981517739859948	-0.962468078845372	18066	39.24	9	97926791	97944856	protein_coding	ENSG00000136929	HEMGN	55363
ENSG00000162722	14465.4870327114	30039.1606821972	-1.98403161836091	0.980858983463367	-1.05422960577093	22952	43.73	1	247857187	247880138	protein_coding	ENSG00000162722	TRIM58	25893
ENSG00000099804	6822.68465499506	10105.9068935425	-1.84953119529291	0.98075956466036	-0.566787351997415	10333	64.64	19	531760	542092	protein_coding	ENSG00000099804	CDC34	997
ENSG00000105281	1933.15039079182	3603.13433994364	-1.85019487271813	0.97998348014074	-0.898298565094181	13712	54.4	19	46774883	46788594	protein_coding	ENSG00000105281	SLC1A5	6510
ENSG00000157514	13660.1120538712	17649.1673158209	-1.77135837623588	0.979827387352734	-0.369630800937987	64122	48.75	X	107713221	107777342	protein_coding	ENSG00000157514	TSC22D3	1831
ENSG00000169902	4657.13132838386	7821.56499055608	-1.85882520848331	0.979784310541671	-0.748015734510225	215227	42.21	7	66205317	66420543	protein_coding	ENSG00000169902	TPST1	8460
ENSG00000119801	5036.99223943121	6065.22184734953	-1.79038771601854	0.97960405371908	-0.267997907487051	13593	41.9	2	30146941	30160533	protein_coding	ENSG00000119801	YPEL5	51646
ENSG00000122641	18.3222282251512	64.0499041452885	-1.85828762122214	0.979443458528047	-1.80560144659258	38667	40.65	7	41667168	41705834	protein_coding	ENSG00000122641	INHBA	3624
ENSG00000136732	41257.0550972751	54218.0920340446	-1.63078281675741	0.979261129555597	-0.394133498565595	40535	50.19	2	126656133	126696667	protein_coding	ENSG00000136732	GYPC	2995
ENSG00000178913	1782.34989310273	2181.41692295122	-1.63296141869845	0.979228070663199	-0.291484951062623	60560	42.06	5	141260225	141320784	protein_coding	ENSG00000178913	TAF7	6879
ENSG00000165678	2536.40436742099	3098.8672482638	-1.63017037314754	0.979204160039566	-0.28895618680491	14060	37.74	10	84139509	84153568	protein_coding	ENSG00000165678	GHITM	27069
ENSG00000132471	15428.6023187285	18968.1204184666	-1.63013286939122	0.979200093721707	-0.297969353169186	10809	55.06	17	75845699	75856507	protein_coding	ENSG00000132471	WBP2	23558
ENSG00000185950	8254.60221112112	11088.055374689	-1.63324460878927	0.979185540632182	-0.425735769024691	33889	46.75	13	109752695	109786583	protein_coding	ENSG00000185950	IRS2	8660
ENSG00000112062	26534.2099042078	31155.1913657021	-1.63331602007189	0.979174781426574	-0.231618987464741	83560	39.88	6	36027677	36111236	protein_coding	ENSG00000112062	MAPK14	1432
ENSG00000058063	15882.5619834576	17967.7252908685	-1.63377222851053	0.979105716046445	-0.177964126181853	128127	36.02	3	182793503	182921629	protein_coding	ENSG00000058063	ATP11B	23200
ENSG00000135070	1673.89618062852	2332.73630038351	-1.62954819051812	0.979056312470247	-0.478813178913371	18557	41.36	9	86264546	86283102	protein_coding	ENSG00000135070	ISCA1	81689
ENSG00000115993	2696.80002088144	5213.14015046169	-1.78961469266899	0.978954660566281	-0.950904102374378	74294	37.71	2	201377207	201451500	protein_coding	ENSG00000115993	TRAK2	66008
ENSG00000167705	1071.39733299528	1615.68608337965	-1.77337204229252	0.978915703938965	-0.592653309751358	3722	64.54	17	1646145	1649866	protein_coding	ENSG00000167705	RILP	83547
ENSG00000005249	1351.8331663709	1910.93247447967	-1.76782590293693	0.97887465565205	-0.499359684081453	117107	38.61	7	107044705	107161811	protein_coding	ENSG00000005249	PRKAR2B	5577
ENSG00000132819	23492.3241942896	37904.9686149689	-1.77365212601501	0.978709219141675	-0.690197518173446	17938	59.97	20	57391396	57409333	protein_coding	ENSG00000132819	RBM38	55544
ENSG00000253736	1301.77274443277	1792.20389249518	-1.63581800927721	0.978619564704768	-0.46125716332105	19355	49.02	5	172762980	172782334	lncRNA	ENSG00000253736	NA	NA
ENSG00000135821	24690.3914071252	30978.1947214388	-1.63606602071477	0.978543290037438	-0.32730336525102	14109	46.71	1	182378098	182392206	protein_coding	ENSG00000135821	GLUL	2752
ENSG00000155307	5185.90770213661	6826.85777961293	-1.85668237988597	0.97847287602592	-0.3966251676839	173594	36.33	21	14485228	14658821	protein_coding	ENSG00000155307	SAMSN1	64092
ENSG00000145555	338.654389511226	552.320111656694	-1.63639687996252	0.978440636877568	-0.705690965732959	274382	44.1	5	16661907	16936288	protein_coding	ENSG00000145555	MYO10	4651
ENSG00000090238	18121.440001185	21965.2730246547	-1.62778926647638	0.97843744217095	-0.277526829814611	4602	58.41	16	30092314	30096915	protein_coding	ENSG00000090238	YPEL3	83719
ENSG00000130522	8529.62458472932	10500.8931026959	-1.6277204072816	0.978407964080459	-0.299957883997707	1929	69.93	19	18279694	18281622	protein_coding	ENSG00000130522	JUND	3727
ENSG00000188175	63.7549200708837	171.646113013617	-1.62757094509306	0.978343928809754	-1.42882860082702	37936	35.82	7	93188534	93226469	protein_coding	ENSG00000188175	HEPACAM2	253012
ENSG00000163754	3196.61991674902	3956.38785743578	-1.62717956948233	0.978116054124051	-0.30763664951404	40368	41.21	3	148991408	149031775	protein_coding	ENSG00000163754	GYG1	2992
ENSG00000119888	27.28421386255	96.9735019661981	-1.76674478447016	0.978081895015409	-1.82952410829223	42444	44.35	2	47345158	47387601	protein_coding	ENSG00000119888	EPCAM	4072
ENSG00000170340	3697.12995613261	4250.38924413938	-1.62695202360191	0.977976047313498	-0.201189211170077	28617	45.39	2	62196115	62224731	protein_coding	ENSG00000170340	B3GNT2	10678
ENSG00000138867	10427.5384655779	13502.4593429967	-1.63837641778668	0.977694310476988	-0.372823570108329	15513	55.14	22	24540423	24555935	protein_coding	ENSG00000138867	GUCD1	83606
ENSG00000143321	7418.60678490846	10773.7530377095	-2.27161240394706	0.977547721052952	-0.538300721241615	24817	51.35	1	156742109	156766925	protein_coding	ENSG00000143321	HDGF	3068
ENSG00000173812	12203.0438867943	15324.1311411594	-1.9630278914289	0.977416771304083	-0.328564223509034	3784	49.15	17	41688885	41692668	protein_coding	ENSG00000173812	EIF1	10209
ENSG00000173391	37.5865096459062	103.686301486046	-1.62593530509936	0.977306032368348	-1.4639384497757	13838	38.78	12	10158301	10172138	protein_coding	ENSG00000173391	OLR1	4973
ENSG00000184792	5964.57859790375	12894.4536342353	-1.96251612841305	0.976945363684181	-1.11225852521502	214043	48.17	22	30693782	30907824	protein_coding	ENSG00000184792	OSBP2	23762
ENSG00000079308	24200.6245701205	38182.7396506833	-1.76538174905693	0.976904313581142	-0.657876340224826	234395	52.84	2	217799588	218033982	protein_coding	ENSG00000079308	TNS1	7145
ENSG00000126267	2841.97502983316	3341.29981859892	-1.64042625371072	0.976672506044418	-0.233515564307214	10460	48.83	19	35648323	35658782	protein_coding	ENSG00000126267	COX6B1	1340
ENSG00000197728	1718.96281437437	2316.45175034836	-1.62469080910937	0.976300372244754	-0.43037829669927	3347	47.33	12	56041351	56044697	protein_coding	ENSG00000197728	RPS26	6231
ENSG00000104765	22826.0487049917	39761.1119888887	-1.76462103763801	0.976214618478595	-0.800676960983356	122583	43.6	8	26383054	26505636	protein_coding	ENSG00000104765	BNIP3L	665
ENSG00000243064	142.221204959605	406.834422023098	-1.78675971904098	0.976034590070383	-1.51630516537259	126549	36.49	21	14236206	14362754	transcribed_unprocessed_pseudogene	ENSG00000243064	ABCC13	150000
ENSG00000111886	660.729201701994	925.737073291848	-1.64253002502251	0.97530601938168	-0.486543391463518	60836	45.69	6	89254464	89315299	protein_coding	ENSG00000111886	GABRR2	2570
ENSG00000204613	425.669499544311	923.663292533913	-1.76344511735518	0.975183677662805	-1.11763331431063	9269	45.93	6	30151943	30161211	protein_coding	ENSG00000204613	TRIM10	10107
ENSG00000134243	4081.23095560624	5299.65198278031	-1.77734909059964	0.974963233686364	-0.376893269401964	88351	42.26	1	109309568	109397918	protein_coding	ENSG00000134243	SORT1	6272
ENSG00000107566	1709.6887794527	2275.79225368691	-1.62327278403906	0.974934561616274	-0.412635136591953	35940	38.15	10	100150094	100186033	protein_coding	ENSG00000107566	ERLIN1	10613
ENSG00000196415	48.589893369705	136.642046286015	-1.64302899024441	0.974933893575631	-1.49167331376086	7177	58.03	19	840999	848175	protein_coding	ENSG00000196415	PRTN3	5657
ENSG00000079215	125.474428022246	245.889096237171	-1.72434143258374	0.974903530121567	-0.97061439159311	91747	40.39	5	36596588	36688334	protein_coding	ENSG00000079215	SLC1A3	6507
ENSG00000145335	3682.6853344621	5879.15758039849	-1.9590434328984	0.974700600993285	-0.674851315280167	137971	36.33	4	89700345	89838315	protein_coding	ENSG00000145335	SNCA	6622
ENSG00000077984	5334.99647090918	7095.06959846554	-1.95891520646609	0.974660110383543	-0.411329519636463	10660	56.39	20	24949269	24959928	protein_coding	ENSG00000077984	CST7	8530
ENSG00000143162	2310.88046330433	4318.1257287065	-1.95883672840515	0.9746387584871	-0.901962615864927	24689	44.5	1	167529117	167553805	protein_coding	ENSG00000143162	CREG1	8804
ENSG00000164587	10560.5287153074	12475.0556679799	-1.64342031770979	0.97462938568764	-0.240364188012619	7105	48.3	5	150442635	150449739	protein_coding	ENSG00000164587	RPS14	6208
ENSG00000198176	3261.28418539088	4622.16223441111	-1.78535384463803	0.97455811617261	-0.503127736481662	56753	53.33	13	113584721	113641473	protein_coding	ENSG00000198176	TFDP1	7027
ENSG00000141469	381.06316560021	1070.21381119017	-1.95848442486477	0.974542424769823	-1.48979698631933	65496	43.44	18	45687025	45752520	protein_coding	ENSG00000141469	SLC14A1	6563
ENSG00000272398	599.980728837397	1063.58474787505	-1.72388973748388	0.97450152590621	-0.825946926037631	5797	50.84	6	106969831	106975627	protein_coding	ENSG00000272398	CD24	100133941
ENSG00000112299	2151.74566284373	3221.63433669124	-1.95595669238933	0.973976824382256	-0.582285193082462	33207	38.11	6	132680849	132714055	protein_coding	ENSG00000112299	VNN1	8876
ENSG00000186417	20.124726060385	52.1480292954173	-1.72858918366779	0.973937707907946	-1.37364358822043	66351	44.75	15	51341655	51408005	protein_coding	ENSG00000186417	GLDN	342035
ENSG00000143479	135.656631509895	363.733752366825	-1.64434861573079	0.973852339595719	-1.42292323087063	48884	44.46	1	206635536	206684419	protein_coding	ENSG00000143479	DYRK3	8444
ENSG00000133069	1505.06278084512	5081.43182215822	-1.77901032336772	0.973455492902826	-1.75541140262789	57687	51.63	1	205227946	205285632	protein_coding	ENSG00000133069	TMCC2	9911
ENSG00000136840	2174.95329445433	3240.86280985284	-1.95280692940483	0.973219158771733	-0.575393530234069	9156	56.64	9	127907886	127917041	protein_coding	ENSG00000136840	ST6GALNAC4	27090
ENSG00000087460	24091.6937579523	28114.9310951157	-1.62146295218633	0.972985814379806	-0.222800685781225	71475	47.09	20	58839718	58911192	protein_coding	ENSG00000087460	GNAS	2778
ENSG00000116717	142.989528060035	256.661912276179	-1.62143265459901	0.972951842710728	-0.843959726860827	3134	52.65	1	67685201	67688334	protein_coding	ENSG00000116717	GADD45A	1647
ENSG00000090382	38535.2192628103	46588.4880602903	-1.62136384162461	0.972874556922476	-0.273795911494167	5854	36.54	12	69348381	69354234	protein_coding	ENSG00000090382	LYZ	4069
ENSG00000173868	30348.9225261289	37276.0319461372	-1.75986559677622	0.972736521219652	-0.29660299491969	7422	56.75	17	49223366	49230787	protein_coding	ENSG00000173868	PHOSPHO1	162466
ENSG00000105610	790.741070146276	1575.34583749963	-1.64560283184985	0.972712987091295	-0.994391316333381	2780	61.58	19	12884422	12887201	protein_coding	ENSG00000105610	KLF1	10661
ENSG00000172232	93.2894521826738	248.858385697402	-1.62080659340327	0.972246290149683	-1.41553912545063	6922	58.64	19	825097	832018	protein_coding	ENSG00000172232	AZU1	566
ENSG00000115271	27910.3520240691	34817.7828023568	-1.75768812304434	0.971854607082392	-0.319024014287029	52756	36.25	2	162318840	162371595	protein_coding	ENSG00000115271	GCA	25801
ENSG00000140564	12363.7662250603	15899.1205340306	-1.75657107899269	0.971547032078415	-0.362828683495588	14977	58.5	15	90868588	90883564	protein_coding	ENSG00000140564	FURIN	5045
ENSG00000162367	1191.79607994117	2072.26496178217	-1.69461649855547	0.971321048070886	-0.798071071932019	15931	53.17	1	47216290	47232220	protein_coding	ENSG00000162367	TAL1	6886
ENSG00000156508	81188.2689557163	97360.2561497679	-1.69225853008037	0.971228729016142	-0.262061678938057	36280	42.73	6	73489308	73525587	protein_coding	ENSG00000156508	EEF1A1	1915
ENSG00000100614	11324.438386057	14104.0049026926	-1.75519943047294	0.971213469656403	-0.316665376931895	53336	36.08	14	60245752	60299087	protein_coding	ENSG00000100614	PPM1A	5494
ENSG00000118518	3765.1652534728	4420.05377106916	-1.69503113834119	0.971168286265244	-0.231350734158725	21842	36.4	6	127266726	127288567	protein_coding	ENSG00000118518	RNF146	81847
ENSG00000134333	2682.39880596359	3198.43879509511	-1.69197938725025	0.971160789973798	-0.253844130257942	13866	43.95	11	18394560	18408425	protein_coding	ENSG00000134333	LDHA	3939
ENSG00000168159	2933.85683643771	3785.26293715687	-1.75369553855333	0.970859333872476	-0.367595044700187	8807	55.49	1	228487382	228496188	protein_coding	ENSG00000168159	RNF187	149603
ENSG00000088826	870.308087464761	1524.90704380922	-1.75284447998578	0.970621911534237	-0.809123192807354	66768	49.87	20	4120980	4187747	protein_coding	ENSG00000088826	SMOX	54498
ENSG00000162399	113.76287790254	317.592009800381	-1.7524038254405	0.970492762288431	-1.48114474968339	18240	51.71	1	54998933	55017172	protein_coding	ENSG00000162399	BSND	7809
ENSG00000111666	3026.24100816073	3911.42927197176	-1.7522738396406	0.970448206226861	-0.370168990249154	47194	38.42	12	101696947	101744140	protein_coding	ENSG00000111666	CHPT1	56994
ENSG00000231500	7134.30635197795	8956.16402755843	-1.69733283955735	0.970170058416362	-0.328107783210107	4437	46.9	6	33272075	33276511	protein_coding	ENSG00000231500	RPS18	6222
ENSG00000184260	2139.64818799169	2589.41101826622	-1.69930787517338	0.969339603046673	-0.275250382231433	494	58.3	1	149886918	149887411	protein_coding	ENSG00000184260	H2AC20	8338
ENSG00000113749	31623.9889534322	39633.4176491293	-1.74959255868155	0.969321441187473	-0.325698022107411	52727	50.07	5	175658030	175710756	protein_coding	ENSG00000113749	HRH2	3274
ENSG00000100448	34.1341962837125	112.574622556348	-1.69997591895748	0.96912136787973	-1.72159195256545	2733	53.71	14	24573518	24576250	protein_coding	ENSG00000100448	CTSG	1511
ENSG00000113916	26522.5016657135	33217.6082499361	-1.70587995262102	0.968785345666716	-0.324731339112709	24349	47.68	3	187721377	187745725	protein_coding	ENSG00000113916	BCL6	604
ENSG00000163554	453.997547827789	898.531948749358	-1.74855418836649	0.968720529531379	-0.984885296867401	76012	37.55	1	158610704	158686715	protein_coding	ENSG00000163554	SPTA1	6708
ENSG00000005381	331.133567712457	689.506966612569	-1.70675689988447	0.968693379026322	-1.05815186125059	11081	55.12	17	58269855	58280935	protein_coding	ENSG00000005381	MPO	4353
ENSG00000100558	294.511015015129	495.195370357483	-1.61705695249656	0.96807382691433	-0.749676233337138	25184	47.4	14	67386984	67412167	protein_coding	ENSG00000100558	PLEK2	26499
ENSG00000111640	15562.4467248175	17599.6158965839	-1.70912180864156	0.967977720584041	-0.177475044671876	3863	59.98	12	6534512	6538374	protein_coding	ENSG00000111640	GAPDH	2597
ENSG00000063854	4035.90337702429	5375.90679753019	-1.70970781047516	0.967666507320581	-0.4136164907237	31538	53.32	16	1795620	1827157	protein_coding	ENSG00000063854	HAGH	3029
ENSG00000008952	2868.50838614012	4401.31108981152	-1.71004003142225	0.967487426176022	-0.617632610964797	31739	36.6	3	169966635	169998373	protein_coding	ENSG00000008952	SEC62	7095
ENSG00000171863	1319.3608927148	1885.07240108491	-1.68852293302843	0.967158512202623	-0.514780687377836	5661	44.62	2	3575260	3580920	protein_coding	ENSG00000171863	RPS7	6201
ENSG00000266412	40537.4480500769	72528.4530671662	-1.71276992822871	0.965887341392996	-0.839291808694511	25536	41.18	10	46005088	46030623	protein_coding	ENSG00000266412	NCOA4	8031
ENSG00000198959	728.386848440553	1256.9365976599	-1.6877350638371	0.965677483265918	-0.78713510049037	39194	52.67	20	38127385	38166578	protein_coding	ENSG00000198959	TGM2	7052
ENSG00000144567	5242.42476081301	6358.41985487632	-1.71692943171576	0.965668959224797	-0.278434031746822	9251	53.86	2	219176225	219185475	protein_coding	ENSG00000144567	RETREG2	79137
ENSG00000026025	12868.1981582363	14766.2400234156	-1.68768063927408	0.965560175942283	-0.198492457220032	9353	46.3	10	17228241	17237593	protein_coding	ENSG00000026025	VIM	7431
ENSG00000140941	4413.39554292154	5844.71635803903	-1.71502639317741	0.965216091325258	-0.405243960840289	20827	47.5	16	87383953	87404779	protein_coding	ENSG00000140941	MAP1LC3B	81631
ENSG00000149516	244.433073334485	517.233193249146	-1.71527145647364	0.965201401510243	-1.08137535844994	14529	39.16	11	60056587	60071115	protein_coding	ENSG00000149516	MS4A3	932
ENSG00000228474	2449.3117784279	3024.12430895667	-1.65280020714669	0.965094464349684	-0.304141014366521	1183	54.69	2	27070472	27071654	protein_coding	ENSG00000228474	OST4	100128731
ENSG00000131469	2001.22125579445	2591.29892692114	-1.61339136382633	0.9643310412467	-0.372794770472046	4687	49.84	17	42998273	43002959	protein_coding	ENSG00000131469	RPL27	6155
ENSG00000110955	4955.01518678402	5974.80739618437	-1.68708911044408	0.964283091822271	-0.270002727963314	7810	45.22	12	56638175	56645984	protein_coding	ENSG00000110955	ATP5F1B	506
ENSG00000110203	1021.17609895161	1565.60142327216	-1.65383957771046	0.96405307712789	-0.616485296237695	25024	45.32	11	72114869	72139892	protein_coding	ENSG00000110203	FOLR3	2352
ENSG00000070729	211.967855230825	374.598100645175	-1.66613027016319	0.963796717036775	-0.821498086851724	88789	50.27	16	57882340	57971128	protein_coding	ENSG00000070729	CNGB1	1258
ENSG00000260549	48.63320287425	118.206016929629	-1.66676523690132	0.963785340430071	-1.28128996103733	1343	55.25	16	56617476	56618818	transcribed_unprocessed_pseudogene	ENSG00000260549	MT1L	4500
ENSG00000115649	3935.200548095	5846.7755051945	-1.66677036517321	0.963785248501234	-0.571204037052294	6210	54.28	2	219171897	219178106	protein_coding	ENSG00000115649	CNPPD1	27013
ENSG00000180537	202.75544437201	603.84373202505	-1.74294567228434	0.963634535824425	-1.57443459049322	55865	38.5	6	13924446	13980310	protein_coding	ENSG00000180537	RNF182	221687
ENSG00000103363	1032.52505300723	1371.33592493311	-1.61261646837722	0.963561722995356	-0.409405232231599	5867	55.45	16	2771414	2777280	protein_coding	ENSG00000103363	ELOB	6923
ENSG00000177954	1691.99214669553	2311.49079757606	-1.66483839891792	0.963556347117258	-0.450100746709643	1394	45.91	1	153990762	153992155	protein_coding	ENSG00000177954	RPS27	6232
ENSG00000165949	335.668466108495	1074.640956174	-1.66446070243433	0.963441477539497	-1.67874581086883	11863	48.7	14	94104836	94116698	protein_coding	ENSG00000165949	IFI27	3429
ENSG00000119669	2727.99941514291	3562.05193844921	-1.66424568879536	0.963357934629009	-0.384865217536056	4166	62.84	14	77024543	77028708	protein_coding	ENSG00000119669	IRF2BPL	64207
ENSG00000242550	45.202108074105	110.8987703455	-1.6685662335351	0.962832682950352	-1.29478140710889	38938	36.52	18	63897174	63936111	protein_coding	ENSG00000242550	SERPINB10	5273
ENSG00000136003	2650.36874256954	3302.53818159013	-1.65705824871826	0.961789938155404	-0.317382146938255	6787	45.78	12	108562582	108569368	protein_coding	ENSG00000136003	ISCU	23479
ENSG00000173744	10411.4724928544	11829.7240474158	-1.68600616447255	0.961785262356994	-0.184242297057047	89066	37.09	2	227472152	227561217	protein_coding	ENSG00000173744	AGFG1	3267
ENSG00000137216	5390.21900940793	7633.29524303283	-1.66970803013571	0.96166003228225	-0.501962101272952	28606	54.28	6	44126914	44155519	protein_coding	ENSG00000137216	TMEM63B	55362
ENSG00000072682	2495.01061906191	3249.01741585399	-1.7407367158786	0.961472983641307	-0.380957521173889	105169	49.23	5	132190147	132295315	protein_coding	ENSG00000072682	P4HA2	8974
ENSG00000179914	54.8267979252063	158.731892717704	-1.65951900902823	0.961404054085653	-1.53363890354154	8641	47.47	1	160876540	160885180	protein_coding	ENSG00000179914	ITLN1	55600
ENSG00000073792	2711.17942823432	4922.181404453	-1.73946658116596	0.960640592044425	-0.860377233397	181913	42.56	3	185643130	185825042	protein_coding	ENSG00000073792	IGF2BP2	10644
ENSG00000102780	3226.69692282944	4374.83163265139	-1.7389074050817	0.960450900216456	-0.439169420513808	216543	38.24	13	42040036	42256578	protein_coding	ENSG00000102780	DGKH	160851
ENSG00000198258	831.934549859895	1117.53156700941	-1.60854758089466	0.959691011923337	-0.425773645995934	2224	52.38	19	9827892	9830115	protein_coding	ENSG00000198258	UBL5	59286
ENSG00000109906	5995.46477489849	9363.30500452067	-1.6074512845906	0.958770828891968	-0.643146256491807	197725	47.53	11	114059041	114256765	protein_coding	ENSG00000109906	ZBTB16	7704
ENSG00000164105	245.887117590645	410.203554445444	-1.68475363195002	0.958759942282114	-0.738343841063739	7564	42.24	4	173369969	173377532	protein_coding	ENSG00000164105	SAP30	8819
ENSG00000274536	17065.5938035449	21104.4164613155	-1.60569601383463	0.957509312903334	-0.306454324812964	4962	43.47	X	66015461	66020422	lncRNA	ENSG00000274536	MIR223HG	115891964
ENSG00000089157	8355.92642824668	9912.00889567353	-1.60538347530431	0.957301875544108	-0.246377692339	4537	48.95	12	120196699	120201235	protein_coding	ENSG00000089157	RPLP0	6175
ENSG00000169174	20.8005797329225	81.0864463209115	-1.53980096751421	0.95395236813914	-1.96283704842452	25406	55.52	1	55039447	55064852	protein_coding	ENSG00000169174	PCSK9	255738
ENSG00000175931	6017.18488312009	8690.31973789235	-1.53930755125476	0.953951000868687	-0.530320572777623	63697	49.84	17	76389456	76453152	protein_coding	ENSG00000175931	UBE2O	63893
ENSG00000125037	2598.04158649211	3488.67588783632	-1.59966497280745	0.953808728793839	-0.425255047536854	48580	44.9	3	9962537	10011116	protein_coding	ENSG00000125037	EMC3	55831
ENSG00000136867	4442.0259231037	5553.78139697262	-1.53849293364282	0.953741090214316	-0.322252579893149	13165	48.03	9	113150976	113164140	protein_coding	ENSG00000136867	SLC31A2	1318
ENSG00000167468	1728.1865162174	2442.43532065633	-1.54125597792331	0.953710653234728	-0.499061427799696	2866	69.47	19	1103926	1106791	protein_coding	ENSG00000167468	GPX4	2879
ENSG00000096968	13963.9849172215	15904.3607196752	-1.54132559456157	0.953684681132506	-0.187711679782871	145559	37.57	9	4984390	5129948	protein_coding	ENSG00000096968	JAK2	3717
ENSG00000108309	775.942085369189	1679.85313558943	-1.53784217266419	0.953530029523155	-1.11431422619099	10258	59.03	17	44308413	44318670	protein_coding	ENSG00000108309	RUNDC3A	10900
ENSG00000102109	109.884523163361	282.693410364506	-1.53782353183663	0.953521346485806	-1.36325005184328	4515	55.39	X	48831096	48835610	protein_coding	ENSG00000102109	PCSK1N	27344
ENSG00000123643	5750.04041956378	6644.32704148464	-1.537409463882	0.953328389520424	-0.208550988740665	55334	42.72	5	151437046	151492379	protein_coding	ENSG00000123643	SLC36A1	206358
